Address,Latitude,Longitude,Deaths
"Srikakulam,Etcheria",18.279096,83.8191716,12
"West Godavari,Tanuku Rural",16.7565815,81.6769714,22
"West Godavari,Eluru Rural",16.7106604,81.0952431,19
"West Godavari,Chebrolu",16.828945,81.3921781,16
"Nellore,Kaavali",14.4425987,79.986456,40
"Kurnool,Papili",15.8281257,78.0372792,25
"Kurnool,Orvakal",15.6840564,78.1778185,23
"Kurnool,Dhone",15.3960427,77.8732414,34
"Karimnagar,Koratla",18.8253384,78.7148047,36
"Medak,Zaheerabad
 Town",18.0529357,78.261853,29
"Medak,Zaheerabad To",18.0529357,78.261853,23
"Medak,Sangareddy
 Rural",18.0529357,78.261853,14
"Nizamabad,Sadasiva Naga",18.6725047,78.0940867,14
"Nizamabad,Balakonda",18.8696382,78.3358612,44
"Nizamabad,Aarmur",18.7899627,78.2881271,18
Adilbad Indaram,19.656879,78.551811,18
"Hyderabad,Rajendra Naga",17.3220253,78.4022942,17
"Hyderabad,Chaitanyapuri",17.3759576,78.537056,28
"Hyderabad,Uppal",17.3983774,78.5582652,44
"Hyderabad,Medchal",17.6323358,78.4804828,54
"Hyderabad,Miyapur",17.5169014,78.3428304,23
"Mahabubnagar,Kothur",17.1473513,78.2889005,18
"Mahabubnagar,Kodandapur",16.7488379,78.0035172,32
"Nalgonda,Chouluppal",17.2489443,78.8968051,34
"Nalgonda,Chouluppal",17.2489443,78.8968051,28
