Address,Latitude,Longitude,Deaths
"Gandhinagar District
 Gandhinagar Range,Village Jethipura Board",23.163337,72.704299,2
"Subarkantha District
 Gandhinagar Range,Shamlaji Town Road",23.2156354,72.6369415,8
"Kheda District
 Ahmedabad Range,Near Hariyana Bye pass Y Point",23.022505,72.5713621,3
"Anand District
 Ahmedabad Range,Village Vasad Cross Road",23.022505,72.5713621,6
"Banaskantha District
 Border Range Bhuj,Village Chandisar Cross Road
 Near Bus Stop",24.2141834,72.3103927,9
"Rajkot Rural Rajkot
 Range,Village Shapar-Veraval",22.1572507,70.7990772,20
"Rajkot Rural Rajkot
 Range,Village Pardi Board",22.3038945,70.8021599,7
"Rajkot Rural Rajkot
 Range,Village Pardi Sim Near Shitala
 Mataji Temple",22.3038945,70.8021599,13
"Rajkot Rural Rajkot
 Range,Village Maliya-Halvad Cross
 Road",22.3038945,70.8021599,4
"Junagadh District
 Junagadh Range,Village Gadu to Village
 Santipara",21.5222203,70.4579436,12
"Junagadh District
 Junagadh Range,Village Vadal Board",21.6112856,70.4969637,5
"Bhavnagar District
 Junagadh Range,Near Village Budhel Board",21.5222203,70.4579436,3
"Bhavnagar District Junagadh Randge,Viilage Talaja To Village Velavadar",21.3514348,72.0327247,18
"Bharuch District Vadodara Range,Sardar bridge South side Ankleshvar citi",22.3071588,73.1812187,6
"Surat District Surat
 Range,Near Village Kim Cross Road
 Pipodara",21.2416059,72.8134289,10
"Surat District Surat
 Range,Village Kamrej Sugar Factor",21.3340581,72.9630347,14
"Surat District Surat
 Range,Village Dhoran Pardi",21.313403,72.964509,14
"Surat District Surat
 Range,Village Kholvad Cross Road",21.2797966,72.947533,15
"Surat District Surat
 Range,Village Vav to Village Ubhel
 Road",21.1702401,72.8310607,18
"Surat District Surat
 Range,Kadodara Bridge to Village
 Chalthan Road",21.1934375,72.8521213,12
"Surat District Surat
 Range,Village Khadak Pardi Board",21.2074044,72.893606,9
"Surat District Surat
 Range,Village Sonvada Board",21.210371,72.8588449,11
"Tapi District Surat
 Range,Village Bajipura T Joint",21.0929278,73.2794846,10
"Tapi District Surat
 Range,Village Bajipura Near Sumul
 Dairy",21.1702401,72.8310607,12
"Tapi District Surat
 Range,Village Mayapur Opp, Seventh
 Day School",21.1702401,72.8310607,9
