Address,Latitude,Longitude,Deaths
"Ambala,In front of Bus/Railway Station,
Ambala",30.3752011,76.782122,23
"Hisar,Barwala Chowk
Bypass",29.3641876,75.9056753,19
"Hisar,Bus Terminal, Hansi",29.0972618,75.9638162,19
"Panchkula,Ram Garh Chowk",30.6942091,76.860565,13
"Kaithal,Ambala Bypass Naka",29.8042758,76.4039016,27
"Kaithal,Titaram More",29.7189702,76.4027569,26
"Kaithal,Shahar Pundari",29.7621028,76.5546031,51
"Sonepat,Bahalgarh Chowk",28.9611609,77.0932643,67
"Sonepat,Hasanpur Cut",28.9930823,77.0150735,10
"Panipat,Gaon Siwah Cut",29.3411553,76.9831816,14
"Panipat,Sector 29 Cut",29.3528811,76.9844677,16
"Panipat,Police Line Cut",29.3909464,76.9635023,24
"Panipat,Gaon Jattipur Cut",29.3909464,76.9635023,16
"Palwal,Kitwabi Chowk,
Aligarh Road",28.1472852,77.3259878,7
"Palwal,Bus Terminal",28.1472163,77.3335193,7
"Faridabad,Mewla Road Cut",28.4089123,77.3177894,31
"Faridabad,DLF Cut",28.4089123,77.3177894,30
"Faridabad,YMCA Chowk",28.368198,77.315215,60
"Faridabad,Gaon Sikri Cut",28.4089123,77.3177894,54
"Faridabad,Mewla Road Cut",28.4089123,77.3177894,31
"Gurgaon,Narsinghpur",28.4594965,77.0266383,18
"Gurgaon,Khadsa Bus Stand",28.4222734,76.9999298,51
"Gurgaon,Hero Honda Chowk",28.4293272,77.0201384,105
"Gurgaon,Rajeev Chowk",28.4473686,77.0261079,86
