Address,Latitude,Longitude,Deaths
"Srikakulam,Etcheria",18.2791,83.81917,12
"West Godavari,Tanuku Rural",16.75658,81.67697,22
"West Godavari,Eluru Rural",16.71066,81.09524,19
"West Godavari,Chebrolu",16.82895,81.39218,16
"Nellore,Kaavali",14.4426,79.98646,40
"Kurnool,Papili",15.82813,78.03728,25
"Kurnool,Orvakal",15.68406,78.17782,23
"Kurnool,Dhone",15.39604,77.87324,34
"Karimnagar,Koratla",18.82534,78.7148,36
"Medak,Zaheerabad
  Town",18.05294,78.26185,29
"Medak,Zaheerabad To",18.05294,78.26185,23
"Medak,Sangareddy
  Rural",18.05294,78.26185,14
"Nizamabad,Sadasiva Naga",18.6725,78.09409,14
"Nizamabad,Balakonda",18.86964,78.33586,44
"Nizamabad,Aarmur",18.78996,78.28813,18
Adilbad Indaram,19.65688,78.55181,18
"Hyderabad,Rajendra Naga",17.32203,78.40229,17
"Hyderabad,Chaitanyapuri",17.37596,78.53706,28
"Hyderabad,Uppal",17.39838,78.55827,44
"Hyderabad,Medchal",17.63234,78.48048,54
"Hyderabad,Miyapur",17.5169,78.34283,23
"Mahabubnagar,Kothur",17.14735,78.2889,18
"Mahabubnagar,Kodandapur",16.74884,78.00352,32
"Nalgonda,Chouluppal",17.24894,78.89681,34
"Nalgonda,Chouluppal",17.24894,78.89681,28
"Gandhinagar District
  Gandhinagar Range,Village Jethipura Board",23.16334,72.7043,2
"Subarkantha District
  Gandhinagar Range,Shamlaji Town Road",23.21564,72.63694,8
"Kheda District
  Ahmedabad Range,Near Hariyana Bye pass Y Point",23.02251,72.57136,3
"Anand District
  Ahmedabad Range,Village Vasad Cross Road",23.02251,72.57136,6
"Banaskantha District
  Border Range Bhuj,Village Chandisar Cross Road
  Near Bus Stop",24.21418,72.31039,9
"Rajkot Rural Rajkot
  Range,Village Shapar-Veraval",22.15725,70.79908,20
"Rajkot Rural Rajkot
  Range,Village Pardi Board",22.30389,70.80216,7
"Rajkot Rural Rajkot
  Range,Village Pardi Sim Near Shitala
  Mataji Temple",22.30389,70.80216,13
"Rajkot Rural Rajkot
  Range,Village Maliya-Halvad Cross
  Road",22.30389,70.80216,4
"Junagadh District
  Junagadh Range,Village Gadu to Village
  Santipara",21.52222,70.45794,12
