Address,Latitude,Longitude,Deaths
"Thane/Manor,Kude to Sativali",19.4103953,72.8776456,46
"Thane/Ghoti,Old kasara Ghat",19.2183307,72.9780897,46
"Satara/Karad,Malkapur",17.2615469,74.1773368,40
"Pune/Khandala,Waksai",18.7650014,73.4538314,36
"Jalgaon/Paldhi,Serve Town Chowk",21.0245349,75.4548646,36
"Jalgaon/Paldhi,Wadjai Nala",18.4313952,73.97982,32
"Thane/Manor,Saykhed Hawali",20.0142305,74.0079781,32
"Pune/Wadgaon,Wadgaon Fata",18.5204303,73.8567437,27
"Satara/Karad,Kashil",17.277693,74.1843535,26
"Thane/Shahapur,Kalambe",19.4520777,73.3279586,26
"Thane/Charoti,Amboli",15.9647156,74.0035709,22
"Raigad/Mahad,Sukeli Phata",18.4875621,73.1880618,22
"Satara/Karad,Masur Fata",17.3114667,74.1875391,21
"Osmanabad/Naldurga,Naldurga Ghat",17.8166677,76.2739795,19
"Jalgaon/Paldhi,Eklagna Gaon",21.0245349,75.4548646,18
"Jalgaon/Paldhi,Avtar Dhaba",21.0245349,75.4548646,18
"Thane/Shahapur,Umbarmali",19.4520777,73.3279586,17
"Pune/Wadgaon,Kamshet",18.5204303,73.8567437,17
"Thane/Charoti,Warwada",19.2183307,72.9780897,15
"Pune/Vadgaon,Center Chowk(Dehu
Road)",18.6860277,73.7477142,15
"Nagpur/Ramtek,Vadoda",22.3071588,73.1812187,13
"Osmanabad/Naldurga,Malup Shivar",17.8166677,76.2739795,12
"Kolhapur/Ujalaiwadi,Topgaon to Kasar Wadi",16.6687108,74.2689603,11
"Raigad/Palaspe,Jeetegaon",18.9535078,73.1290596,10
"Buldhana/Malkapur,Dasarkhed",20.9608756,76.1841701,9
