Address,Latitude,Longitude,Deaths
"Jabalpur,Mausan, Kachhpura, Barnutiraha, Khital,
Uldana Pulia",23.1685786,79.9338798,10
"Jabalpur,Kalari, Mohtas, Gausalpur, Sanaskara,
Pahreva Naka",23.1685786,79.9338798,12
"Jabalpur,Bajrangwada, Bargi Mohala",23.1685786,79.9338798,11
"Jabalpur,Chakahanala, Burjhai Tiraha, Moiliya
Tiraha, Phutataal",23.1685786,79.9338798,12
"Jabalpur,Usvair Tiraha, Kadrakhada, Kevalachi",23.1685786,79.9338798,19
"Bhopal,Samardha",23.3322478,77.5827175,12
"Bhopal,Baagsevnia",23.1945106,77.4621903,16
"Bhopal,Anandnagar",23.2520103,77.4856647,11
"Bhopal,Ayodhaya Bypass",23.2748399,77.4676591,13
"Bhopal,Sihore Bypass",23.1956551,77.1154454,11
"Mandsor,Malhar Kasba",24.0734356,75.0679018,12
"Mandsor,Suthod",24.2547314,74.9990454,10
"Mandsor,Piplayamandi Chaupati, Bahi Pasharvnath Phanta, Bottleganj Chaupati, Naka No. 10",24.0734356,75.0679018,13
"Shivpuri,Near Vill. Ishvari and between Kulhari",25.4320478,77.6643815,13
"Shivpuri,Kasba Badwas",25.4320478,77.6643815,12
"Shivpuri,From Bhagora to Amolaha",25.4320478,77.6643815,12
"Shivpuri,Between Old Keshar Amolaha and
Shivhare Dhaba Veerpur",25.4320478,77.6643815,10
"Shivpuri,Between New Amola No. 1 and 2",25.4320478,77.6643815,14
"Shivpuri,From Padora to Majhera",25.4320478,77.6643815,16
"Neemach,",24.4737663,74.8726497,12
"Neemach,Sagar Gram Pulia",24.4737663,74.8726497,10
"Panna,From village Manor to Harsa More (16
kms)",24.7174633,80.1814145,15
