Address,Latitude,Longitude,Deaths
"Vishwakarma Jaipur West,Road No. 1, 5, 6, 9, 12,
14 Vishwakarma Area",26.9744348,75.7822556,15
"Chomu Jaipur
West,Jaitpura",27.1248837,75.7302632,3
"Bagru Jaipur West,Thikriya More",26.8078123,75.5401734,5
"Bagru Jaipur
West,Bhakrota",26.8078123,75.5401734,9
"T.P. Nagar
Jaitpur East,Ghat ki Guni Agra Road",26.8934877,75.8580981,4
"Kanauta Jaipur East,Mali ki Kothi Bagrana",26.8785053,75.9257795,9
"Bajaj Nagar
Jaipur East,Tonk Pulia and nearby",26.8657486,75.8013086,1
"Chaksu Jaipur
South,Chaksu",26.6034639,75.9435991,41
"Shivdaspura
Jaipur South,Shivdaspura",26.7112514,75.8955113,19
"Shyamnagar
Jaipur South,Shalimar Bagh to Ajmer
road crossing",26.9124336,75.7872709,6
"Shahapura Jaipur Rural,Bhabhru",27.3842893,75.9611437,13
"Bahrod Alwar,Bahrod",27.8946773,76.2820297,9
"Sadar Dausa,Bhandarej More",26.8821625,76.425938,25
"Mania Dhaulpur,Mania",26.8194406,77.918174,7
"Sumerpur Pali,Kasba Sumerpur",25.1526446,73.0822804,5
"Sirohi,Barighata",24.8851548,72.8574558,5
"Sukher Udaipur,Cheerwaghata to
Amrakhaji More",24.6476735,73.7182988,7
"Thana Sukher
Udaipur,Bhuwana Bypass",24.6224237,73.7080528,9
"Thana Sukher
Udaipur,Kailashpuri",24.6476735,73.7182988,8
"Pratapnagar Udaipur,Pratapnagar Crossing",24.5900703,73.7475095,13
"Gaurdhan Vilas Udaipur,Balicha Chauraha",24.585445,73.712479,3
"Byawar Sadar
Ajmer,Rani Sagar Kharwa",26.4498954,74.6399163,16
"Madanganj
Ajmer,Chiriya Bawari",26.5839309,74.8496692,10
"Bandar Sindri
Ajmer,Patan Tiraya",26.5981243,75.0372876,5
