Address,Latitude,Longitude,Deaths
"Kancheepuram,Ponnerikarai to White gate between 2 k.m.",12.818456,79.6946586,60
"Kancheepuram,1. Panapakkam Road JN.
2. Dhamal By-pass
3. Baluchetty chatram By-Pass
4. Ariyaperum-bakkam Road JN.
5. Chitherimedu JN. Between 3 km",12.8381594,79.7043264,34
"Kancheepuram,Mevalurkuppam Irungattukottai Pennalore Mambakkam. between 3.5 KM.",13.0040626,79.9937249,73
"Kancheepuram,Thirumangalam Senthamangalam Dharkas Pillaichatram. 3 KM.",11.2813371,78.2357948,27
"Kancheepuram,1.Paranu Bus stop 1/2 Km
2. Paranur Bridge 1 km
3. Rajakulipettai 1 km
4. Pulipakkam JN road 2 km
5. Pazhzveli hills 1/2 km
6. Pazhaveli near Vaigai Hotel - 1 km
7. Vithiya Sagar Womens College,
Vethanarayanapuram 1/2",12.6701717,79.9574393,49
"Kancheepuram,Thailavarm to Urapakkam Juction Between 5km",12.8673697,80.0698575,45
"Kancheepuram,Vandalur Sign & New Bridge, 4
Km",12.8912559,80.0810009,28
"Kancheepuram,S.P. Koil Junction 5 Km Kattankulathur 3 Km Maraimalai
Nagar ½ km",12.8230044,80.0447242,62
"Villupuram,1. Onkur check post
2. Saram
3. Pathiri between 5 K.m",11.9337269,79.4862502,51
"Villupuram,Tindivanam Junction Between 2 KM.",12.2266754,79.6503543,37
"Villupuram,1. Jakkampet
2. Mailam x road
3. Kedipattu
4. Sendur x road,between 4 KM.",12.1447037,79.4703885,77
"Villupuram,1. Mundiyam-pakkam Jn",11.9976046,79.5157906,50
"Villupuram,1. Sithani",11.9401378,79.4861449,52
"Villupuram,Vridhachalam to Ulundurpet bypass between 1.5 KM",11.515868,79.3268894,27
"Villupuram,Arasur Jn bypass crossing between
6 KM",11.9401378,79.4861449,40
"Villupuram,Kedilam road bypass Jn between
10 KM",11.9401378,79.4861449,29
"Villupuram,1. Trichy bypass
2. Salem Bypass between 4 KM",11.664325,78.1460142,40
"Villupuram,Gingee bypass to Viluppuram Jn.
Between 2 KM",11.9533786,79.4923313,25
"Cuddalore,Total 30 Cases 7 to 10 Kms",11.7480419,79.7713687,30
"Cuddalore,Total 11 Cases 8 to 10 kms",11.7480419,79.7713687,23
"Salem,Omalr to Deevattipatty R.C. Chettipatty, Thanneerthotty, Jodukuli junction, Santhai thadam",11.8190902,78.0641504,72
"Salem,10 kms Vaigundam to Sangagiri, Konganapuram pirivu road, Akkamapet Mangarangampalayam",11.4796301,77.8887234,31
"Nagapattinam,Sirkali to Senthankudi 32
km 36 km",11.2390878,79.7361217,23
