Address,Latitude,Longitude,Deaths
"Aligarh,Kayampur More (125 m)",27.8973944,78.0880129,169
"Lucknow,Faizabad Road/ Ring Road (3-4 k.m.)",26.8043993,81.5430572,24
"Mathura,Jaigurudev Ashram (1
k.m.)",27.4755756,77.6571453,100
"Kanpurnagar,Ramadevi Crossing",26.41141,80.3869548,38
"Unnav,Dahi (1/2 km)",26.5393449,80.4878195,52
"Firozabad,Tundala (1-1 km)",27.2263843,78.2425418,60
"Lalitpur,Mahroni (1 to 1.5 kms)",24.5819406,78.7228416,19
"Moradabad,PAC T. Kanth Road (1-1.5
kms)",28.8671376,78.7480416,44
"Bareilly,Rampura (1 to 2 kms)",28.3670355,79.4304381,31
"Agra,Sabzimandi (500 m)",27.2117622,78.0295247,30
"Fatehpur,Gram Nauwabag (200 m)",25.9302169,80.7947056,33
"Mainpuri,Kasba Bewar (1 km)",27.2281937,79.0251659,48
"Bijnaur,Kiratpur Road (0.5 to 1 km)",29.3864475,78.1437385,38
"Saharanpur,Devband GT Road (1 km)",29.6880187,77.6820491,22
"Chitrakut,Karvi (1 km)",25.1788154,80.8654534,16
"Faizabad,Town Area (3-4 kms)",26.7729751,82.1457934,14
"Shahajahanpur,Jumka (1.5 kms)",27.8753399,79.9147268,7
"Kaushambhi,Saini (2 kms)",25.361054,81.4031707,23
"Gorakhpur,Ramudih (1 km)",26.7605545,83.3731675,35
"Auraiya,Kasba Ajitmal (2 to 2.5 kms)",26.5706587,79.3130972,11
"Mirzapur,Adal Haat (1 km)",25.1305648,83.034795,30
"Allahabad,Phaphamau Tiraha (500
m)",25.5216746,81.8666783,14
